input,target
पिछले हफ्ते से जीभ में ऐंठन है और जुकाम भी हो रहा है और मेले सर में बहुत तेज दर्द है,पिछले हफ्ते से जीभ में ऐंठन है और जुकाम भी हो रहा है और मेरे सिर में बहुत तेज दर्द है
गला में जलन है जो कलाई तक फैल रहा है,गला में जलन है जो कलाई तक फैल रहा है
सुबह से से कान में कड़ापन है,सुबह से से कान में कड़ापन है
पिछले हफ्ते से घुट नों में सूजन है और भूख नहीं लगना भी हो रहा है,पिछले हफ्ते से घुटनों में सूजन है और भूख नहीं लगना भी हो रहा है
कंधों मेंजलन हो रहा है,कंधों में जलन हो रहा है
हाथों में खुजली है जो कंधों तक फ़ैल रहा है,हाथों में खुजली है जो कंधों तक फैल रहा है
जीभ में बहुत तेज सूजान है,जीभ में बहुत तेज सूजन है
दोपहर से से चक्कर है,दोपहर से से चक्कर है
एक हफ्ते से से जीभ में सूजान है,एक हफ्ते से से जीभ में सूजन है
उंगलियोंमें कड़ापनहै जो घुटना तक फैल रहा है,उंगलियों में कड़ापन है जो घुटना तक फैल रहा है
घुटनों में सूजन है जो उंगलियोँ तक फैल रहा है,घुटनों में सूजन है जो उंगलियों तक फैल रहा है
जब सोता करता हूं तो पैरों में दर्द होता है,जब सोता करता हूं तो पैरों में दर्द होता है
पिछले हफ्ते से जीभ में दर्द है और कमजोरी भी हो रहा है,पिछले हफ्ते से जीभ में दर्द है और कमजोरी भी हो रहा है
कभी-कभी पैरों में भारीपन होता है और घुटना में कड़ापन और जुकाम है,कभी-कभी पैरों में भारीपन होता है और घुटना में कड़ापन और जुकाम है
पिछले हफ्ते से हथों में सुन्नपन है और भूख नहीं लगना भी हो रहा है,पिछले हफ्ते से हाथों में सुन्नपन है और भूख नहीं लगना भी हो रहा है
जीभ में तेज दर्द़ और वजन कम होना है,जीभ में तेज दर्द और वजन कम होना है
जब सीढ़ी चढ़ता करता हूं तोकलाई में सुन्नपन होता है,जब सीढ़ी चढ़ता करता हूं तो कलाई में सुन्नपन होता है
कल षे कंधा में झनझनाहट शुरू हो गया,कल से कंधा में झनझनाहट शुरू हो गया
कान में झनझनाहट है जो कमर तक फैल रहा है और छाती नें झनझनाहट और वजन कम होना है,कान में झनझनाहट है जो कमर तक फैल रहा है और छाती में झनझनाहट और वजन कम होना है
पिछले हफ्ते से गले में जनझनाहट है और पसीना आना भी हो रहा है,पिछले हफ्ते से गले में झनझनाहट है और पसीना आना भी हो रहा है
परसों से से कलाई में डर्ड है और पिछले हफ्ते से गले में सूजन है और नींद नहीं आना भी हो रहा है,परसों से से कलाई में दर्द है और पिछले हफ्ते से गले में सूजन है और नींद नहीं आना भी हो रहा है
जब बैठता करता हूं तो उंगलियों में सूजान होता है,जब बैठता करता हूं तो उंगलियों में सूजन होता है
मेरे आंख मेंबहुत जलन है और शरीरटूट रहाहै,मेरे आंख में बहुत जलन है और शरीर टूट रहा है
पिछले हफ्ते से उंगलियों में ऐंठन है और खांसी भी हो रहा है और कभी-कभी मसूड़ों में तेज दर्द़ होता है,पिछले हफ्ते से उंगलियों में ऐंठन है और खांसी भी हो रहा है और कभी-कभी मसूड़ों में तेज दर्द होता है
रात से से गले में शूजन है,रात से से गले में सूजन है
नाक भारी लग रहा है,नाक भारी लग रहा है
बुखार के शाथ नींद नहीं आना भी है,बुखार के साथ नींद नहीं आना भी है
कल से से घुटनों में भारीपन है,कल से से घुटनों में भारीपन है
पैर में खुजली है ज़ो कंधा तक फैल रहा है और पैरों में कड़ापन है जो दांत तक फैल रहा है,पैर में खुजली है जो कंधा तक फैल रहा है और पैरों में कड़ापन है जो दांत तक फैल रहा है
कलाई में तेज दर्द़ है जो घुटनों तक़ फैल रहा है,कलाई में तेज दर्द है जो घुटनों तक फैल रहा है
घुटनों में ऐंठन औल कमजोरी है,घुटनों में ऐंठन और कमजोरी है
मुझे खासी और सांस लेने में तकलीफ है,मुझे खांसी और सांस लेने में तकलीफ है
हाठों में ऐंठन है जो पेट तक फैल रहा है,हाथों में ऐंठन है जो पेट तक फैल रहा है
सुबह से से कमर में भारीपन है,सुबह से से कमर में भारीपन है
पिछले हफ्ते से पैर में सूजन है और कमज़ोरी भी हो रहा है औड पेट में भारीपन है जो सिर टक फैल रहा है,पिछले हफ्ते से पैर में सूजन है और कमजोरी भी हो रहा है और पेट में भारीपन है जो सिर तक फैल रहा है
दांत में तेजदर्द और घबराहट है,दांत में तेज दर्द और घबराहट है
हात में सूजन और बुखार है,हाथ में सूजन और बुखार है
पेत में झनझनाहट है जो आंख तक फैल रहा है,पेट में झनझनाहट है जो आंख तक फैल रहा है
पिछले हफ्ते से टखना में दर्द है और वजन बढ़ना भी हो रहाहै,पिछले हफ्ते से टखना में दर्द है और वजन बढ़ना भी हो रहा है
कंधा में तेज दरद है जो नाक तक फैल रहा है,कंधा में तेज दर्द है जो नाक तक फैल रहा है
गला में सूजण औड़ उल्टी है,गला में सूजन और उल्टी है
हाथों में सूजन ओर सांस लेने में तकलीफ है,हाथों में सूजन और सांस लेने में तकलीफ है
जब सोदा करता हूं तो गर्दन में कड़ापन होता है,जब सोता करता हूं तो गर्दन में कड़ापन होता है
कभी-कभी गर्दन में सुन्नपन होताहै,कभी-कभी गर्दन में सुन्नपन होता है
मुझे थकान और भूख नहीं लगना है और कंधों में भारीपन है ज़ो कमर तक फैल रहा है,मुझे थकान और भूख नहीं लगना है और कंधों में भारीपन है जो कमर तक फैल रहा है
तीन दिन से से हाथ में झनझनाहट है और जब खड़ा होता करता हूं तो हाथों में भारीपन होता है,तीन दिन से से हाथ में झनझनाहट है और जब खड़ा होता करता हूं तो हाथों में भारीपन होता है
सुबह से पीठ में खूजली है,सुबह से पीठ में खुजली है
पैरों में खड़ापन और वजन बढ़ना है और आंख में जलन और घबराहट है,पैरों में कड़ापन और वजन बढ़ना है और आंख में जलन और घबराहट है
तीन दिन सेसे गले में भारीपन है,तीन दिन से से गले में भारीपन है
पिछले हफ्ते सेकंधों में सुन्नपन है औरसांस लेने मेंतकलीफ भी हो रहा है,पिछले हफ्ते से कंधों में सुन्नपन है और सांस लेने में तकलीफ भी हो रहा है
कल से से सिर मेंसुन्नपन है,कल से से सिर में सुन्नपन है
सिरमें कुचली है जो सिर तक फैल रहा है,सिर में खुजली है जो सिर तक फैल रहा है
पिछले हफ्ते से उंगली में कड़ापन है और भूख नहीं लगना भी हो डहा है,पिछले हफ्ते से उंगली में कड़ापन है और भूख नहीं लगना भी हो रहा है
"हां, जीभ में खुजली है और हाथ्ों में बहुत तेज खुजली है","हां, जीभ में खुजली है और हाथों में बहुत तेज खुजली है"
गल्ले में ज़लन है जो घुटना तक फैल रहा है,गले में जलन है जो घुटना तक फैल रहा है
नाक में बहुत तेज कड़ापन है और कंधों में जलन है जोकान तक फैल रहा है,नाक में बहुत तेज कड़ापन है और कंधों में जलन है जो कान तक फैल रहा है
उंगली में खुजली है झो दांत तक फैल रहा है,उंगली में खुजली है जो दांत तक फैल रहा है
पिछले हफ्ते से गले में ऐंठन है और जुकाम भी हो रहा है,पिछले हफ्ते से गले में ऐंठन है और जुकाम भी हो रहा है
पिछले हफ्ते से टखना में झनझनाहट है और दस्त् भी हो रहा है,पिछले हफ्ते से टखना में झनझनाहट है और दस्त भी हो रहा है
पैल में झनझ नाहट और सांसलेने में तकलीफ है,पैर में झनझनाहट और सांस लेने में तकलीफ है
मुझे दस और उल्टी है,मुझे दस्त और उल्टी है
पिछले हफ्तेसे कंधों में जलनहै और थकान भी हो रहा है,पिछले हफ्ते से कंधों में जलन है और थकान भी हो रहा है
कंधा में खुजली है जो गुटनों तक फैल रहा है,कंधा में खुजली है जो घुटनों तक फैल रहा है
छाती में ऐंठन है जो उंगली तक फैल रहा है,छाती में ऐंठन है जो उंगली तक फैल रहा है
कल से से घुटनों में तेज दर्द है,कल से से घुटनों में तेज दर्द है
मेरे गल्ले में बहुत दर्द है,मेरे गले में बहुत दर्द है
पिछले हफ्ते से गले में सूजन है और नींद नहीं आना भी हो रहा है,पिछले हफ्ते से गले में सूजन है और नींद नहीं आना भी हो रहा है
पिछले हफ्ते से गर्दन में शुन्नपन है औड़ उलती भी हो रहा है,पिछले हफ्ते से गर्दन में सुन्नपन है और उल्टी भी हो रहा है
हाथों में तेज दर्दे और थकान है,हाथों में तेज दर्द और थकान है
अखं में सुन्नपन और पसीना आना है,आंख में सुन्नपन और पसीना आना है
पिछलेहफ्ते से कान में सुन्नपन है और जु काम भी हो रहा है और कंधों में सुन्नपन है जो गर्दन तक फैल रहा है,पिछले हफ्ते से कान में सुन्नपन है और जुकाम भी हो रहा है और कंधों में सुन्नपन है जो गर्दन तक फैल रहा है
उंगलियों में भारीपन और जुकाम है,उंगलियों में भारीपन और जुकाम है
छाती में ऐंठन है जो कान तक फैल रहाहै,छाती में ऐंठन है जो कान तक फैल रहा है
कभी-कभी हाथों में खुजली हौता है,कभी-कभी हाथों में खुजली होता है
गर्दन में सूजन हैजो दांत तक फैल रहा है,गर्दन में सूजन है जो दांत तक फैल रहा है
कंधा में दर्द और भूख नहीं लगना है,कंधा में दर्द और भूख नहीं लगना है
पिछले हफ्ते से ज़ीभ में तेज दर्द है और भूग नहीं लगना भी हो रहा है और खाना खाने के बाद गले में भारीपन होता है,पिछले हफ्ते से जीभ में तेज दर्द है और भूख नहीं लगना भी हो रहा है और खाना खाने के बाद गले में भारीपन होता है
उंगलियों में कड़ापन है जो पायर तक फैल रहा है,उंगलियों में कड़ापन है जो पैर तक फैल रहा है
जब सीढ़ीचढ़ता करता हूं तो हाथोंमें सुन्नपनहोता है,जब सीढ़ी चढ़ता करता हूं तो हाथों में सुन्नपन होता है
जबकाम करता करता हूं तो गला में कड़ापन होता है,जब काम करता करता हूं तो गला में कड़ापन होता है
कभी-कभी गर्दन में जलान होता है,कभी-कभी गर्दन में जलन होता है
जब चलता करता हूं तो दांत में जल्लन होता है और राट से से घुटनों में भाडीपन है,जब चलता करता हूं तो दांत में जलन होता है और रात से से घुटनों में भारीपन है
जब सीढ़ी चढ़ता करता हूं तो गर्दन में तेज़ दर्द़होता है,जब सीढ़ी चढ़ता करता हूं तो गर्दन में तेज दर्द होता है
दांत में दर्दे है जो मसूड़ों तक फैल रहा है,दांत में दर्द है जो मसूड़ों तक फैल रहा है
गला में खुजलि और खांसी है,गला में खुजली और खांसी है
"हां, उंगलियों में दरद है","हां, उंगलियों में दर्द है"
घुटना में तेज दर्द और खाँसी है और शाम से से कान में जलन है,घुटना में तेज दर्द और खांसी है और शाम से से कान में जलन है
कंधों में कड़ापन ओर सर्दी है,कंधों में कड़ापन और सर्दी है
कल से से पैर मेंऐंठन है औरकमर में खुजलीऔर नींद नहीं आमा है,कल से से पैर में ऐंठन है और कमर में खुजली और नींद नहीं आना है
पीठ में तेज दर्द औड चक्कर है,पीठ में तेज दर्द और चक्कर है
परसों से सेकान में सूजन है,परसों से से कान में सूजन है
नाक में कड़ापन है जो गल तक फैल रहा है और मुझे खासी और दस्त है,नाक में कड़ापन है जो गले तक फैल रहा है और मुझे खांसी और दस्त है
मुझे उल्टी और वजन कम होना है और शाम षे से कंधों में जलन है,मुझे उल्टी और वजन कम होना है और शाम से से कंधों में जलन है
जब खड़ा होदा करता हूं तो कलाई में झनझनाहट होता है और पूरे शरीर में दर्द है,जब खड़ा होता करता हूं तो कलाई में झनझनाहट होता है और पूरे शरीर में दर्द है
पिछले हफ्ते से मसूड़ों में कड़ापन है और दस्त भी हो रहा ह,पिछले हफ्ते से मसूड़ों में कड़ापन है और दस्त भी हो रहा है
हाथ में हल्की तेज दर्द है,हाथ में हल्की तेज दर्द है
पिछले हफ्तेसे दांत मेंतेज दर्द है और कमजोरी भी हो रहा है,पिछले हफ्ते से दांत में तेज दर्द है और कमजोरी भी हो रहा है
"नहीं, मुझे बुखार नहीं ह","नहीं, मुझे बुखार नहीं है"
पीठ में ऐंठन है जो गर्दन तक फैल रहा है,पीठ में ऐंठन है जो गर्दन तक फैल रहा है
पिछले हफ्ते से गल में जल्लन है और बुखार भी हो रहा है और परसों से से कमर में कड़ापम है,पिछले हफ्ते से गले में जलन है और बुखार भी हो रहा है और परसों से से कमर में कड़ापन है
जबसोता करता हूं तोगले में खुजली होता है,जब सोता करता हूं तो गले में खुजली होता है
एक हफ्ते से से आंख नें दर्द है,एक हफ्ते से से आंख में दर्द है
पिछलेहफ्ते से कंधा में भारीपन है और दस्त भी हो रहा है,पिछले हफ्ते से कंधा में भारीपन है और दस्त भी हो रहा है
पिछले हफ्ते से हाथ में तेज दर्द है और सांस लेने में तकलीफ भी हो रहा है,पिछले हफ्ते से हाथ में तेज दर्द है और सांस लेने में तकलीफ भी हो रहा है
जीभ में जल्लन है जो कलाई तक फैल रहा है,जीभ में जलन है जो कलाई तक फैल रहा है
बुकार के लिए क्या दवा लूं,बुखार के लिए क्या दवा लूं
जीभ लाल लग रहा है,जीभ लाल लग रहा है
जब खड़ा होता करता हूं तो पेत में कड़ापन होता है,जब खड़ा होता करता हूं तो पेट में कड़ापन होता है
जब सोता करता हूं तो काम में झनझनाहट होता है,जब सोता करता हूं तो कान में झनझनाहट होता है
मुझे बेचैनी और कमजोरी है और कंधा में ऐंठन है जो उंगलियों तक फ़ैल रहा है,मुझे बेचैनी और कमजोरी है और कंधा में ऐंठन है जो उंगलियों तक फैल रहा है
कंधा में सुन्नपन है जो हाथ तक फैल रहा है,कंधा में सुन्नपन है जो हाथ तक फैल रहा है
"कंधा में खुजलि और भूख नहीं लगना है और हां, पेट में झनझनाहट है","कंधा में खुजली और भूख नहीं लगना है और हां, पेट में झनझनाहट है"
पैरों में कड़ापन और उल्टी है और आंख में झनझनाहट है जो नाख तक फैल रहा है,पैरों में कड़ापन और उल्टी है और आंख में झनझनाहट है जो नाक तक फैल रहा है
गला में कड़ापन और दस्त् है,गला में कड़ापन और दस्त है
खानाखाने के बाद गर ्दन मेंभारीपन होताहै,खाना खाने के बाद गर्दन में भारीपन होता है
उं गली में सूजन है जो कान तक फैल रहा है,उंगली में सूजन है जो कान तक फैल रहा है
घुटनामें हल्की कड़ापन है,घुटना में हल्की कड़ापन है
पिछले हफ्ते से अंखों में कड़ापन है और वजन क़म होना भी हो रहा है,पिछले हफ्ते से आंखों में कड़ापन है और वजन कम होना भी हो रहा है
पिछले हफ्ते से हाथों में तेज दर्द है और खांसी भी हो रहा है,पिछले हफ्ते से हाथों में तेज दर्द है और खांसी भी हो रहा है
मुझेगळे में जलन है,मुझे गले में जलन है
पेट में खुजली और वजन बढ़ना है और परसों से से पेर में सूजन है,पेट में खुजली और वजन बढ़ना है और परसों से से पैर में सूजन है
कभी-कभी जीभ में सूजन होता है,कभी-कभी जीभ में सूजन होता है
जब बैठता करता हूं तो आख में तेज दर्द होता है,जब बैठता करता हूं तो आंख में तेज दर्द होता है
पिछले हफ्ते से दांत में तेज दर्द है और घबरहट भी हो रहा है,पिछले हफ्ते से दांत में तेज दर्द है और घबराहट भी हो रहा है
दांत में भारीपन और चक्कर है,दांत में भारीपन और चक्कर है
पिछले हफ्तेसे हाथमें जलन है और बुखारभी हो रहा है,पिछले हफ्ते से हाथ में जलन है और बुखार भी हो रहा है
तीन दिन से से गल में तेज दर्दे है,तीन दिन से से गले में तेज दर्द है
पैरों में सुन्नपन है जो सिर थक फैल रहा है,पैरों में सुन्नपन है जो सिर तक फैल रहा है
मुझे दांत में तेज दर्द है,मुझे दांत में तेज दर्द है
पिछले हफ्ते से गला में जलन है और वजन कम होना फी हो रहा है,पिछले हफ्ते से गला में जलन है और वजन कम होना भी हो रहा है
पीठ में ऐंठन ओर खांसी है,पीठ में ऐंठन और खांसी है
मेरे पैर में बहुत भरीपन है,मेरे पैर में बहुत भारीपन है
कल से से कमर में सूजन है और पिछले हफ्ते से कंधों में जल्लन है और उलती भी हो रहा है,कल से से कमर में सूजन है और पिछले हफ्ते से कंधों में जलन है और उल्टी भी हो रहा है
जब बैठता करता हुं तो टखना में झनझनाहट होता है,जब बैठता करता हूं तो टखना में झनझनाहट होता है
खाना खाने के बाद मसूड़ों में कड़ापन होता है,खाना खाने के बाद मसूड़ों में कड़ापन होता है
"हां, कमर में ऐंठण है","हां, कमर में ऐंठन है"
पिछले हफ्ते से कलाई में सुन्नपन है और भूख नहीं लगना भीहो रहा है,पिछले हफ्ते से कलाई में सुन्नपन है और भूख नहीं लगना भी हो रहा है
आंखों के सामने अंधेरा छा जाता ह और घुटना में खुजली है जो कंधा तक फैल रहा है,आंखों के सामने अंधेरा छा जाता है और घुटना में खुजली है जो कंधा तक फैल रहा है
मसूड़ों में हल्की सूजन है और हाथ्ों में सुन्नपन और पसीना आना है,मसूड़ों में हल्की सूजन है और हाथों में सुन्नपन और पसीना आना है
बखार के साथ बेचैनी भी है,बुखार के साथ बेचैनी भी है
पिछले हफ्ते से घुटनों में जलन है और उल्टी फी हो रहा है,पिछले हफ्ते से घुटनों में जलन है और उल्टी भी हो रहा है
मुझे दस्त् और खांसी है,मुझे दस्त और खांसी है
मसूड़ों नरम लग रहा है,मसूड़ों नरम लग रहा है
उंगलियों में सुन्नपन है जो कंधा तक फैल रहा है और गले में सुन्नपन है जो पीठ तक फैल रहा है,उंगलियों में सुन्नपन है जो कंधा तक फैल रहा है और गले में सुन्नपन है जो पीठ तक फैल रहा है
पिछलेहफ्ते से पैर में तेज दर्द है और दस्त भीहो रहा है,पिछले हफ्ते से पैर में तेज दर्द है और दस्त भी हो रहा है
कल से से गल में जलन है औरजब काम करता करता हूं तो छाती मेंसूजन होता हे,कल से से गले में जलन है और जब काम करता करता हूं तो छाती में सूजन होता है
आंख में तेज दरद और बेचैनी है और सुबह से से कंधों में खुजली है,आंख में तेज दर्द और बेचैनी है और सुबह से से कंधों में खुजली है
पेट में अंठन है जो आंख तक फैल रहा है,पेट में ऐंठन है जो आंख तक फैल रहा है
मसूड़ों में सूजन और कमजोर है,मसूड़ों में सूजन और कमजोरी है
कंधों में भारीपन है जो मसूड़ों तक फैल रहा है,कंधों में भारीपन है जो मसूड़ों तक फैल रहा है
हाथ में भारीपन है जो हाठ तक फैल रहा है,हाथ में भारीपन है जो हाथ तक फैल रहा है
आंखों में बहुत तेज तेज दरद है,आंखों में बहुत तेज तेज दर्द है
मसूड़ों में दर्द और बेचैनी है,मसूड़ों में दर्द और बेचैनी है
रात से से भूख नहीं लगना है,रात से से भूख नहीं लगना है
कल से पैलों में ऐंठन शुरू हो गया,कल से पैरों में ऐंठन शुरू हो गया
जब खाता करता हूं तो हाथ में झनझनाहट होता है,जब खाता करता हूं तो हाथ में झनझनाहट होता है
जब खड़ा होता करता हूं तो छाती में डर्ड होता है और जब खड़ा होता करता हूं तो पीठ में ऐंठन होता है,जब खड़ा होता करता हूं तो छाती में दर्द होता है और जब खड़ा होता करता हूं तो पीठ में ऐंठन होता है
जब सोता करता हूं तो काम में कड़ापन होता है,जब सोता करता हूं तो कान में कड़ापन होता है
खाना खाने के बाद आंखों में जलन होताहै,खाना खाने के बाद आंखों में जलन होता है
मेरे हाथ में बहुत सूजन है,मेरे हाथ में बहुत सूजन है
खाना खाने के बाद जीभ में खुजली होता है,खाना खाने के बाद जीभ में खुजली होता है
पिछले हफ्ते से दांत में तैज दरद है और घबराहट भी हो रहा है,पिछले हफ्ते से दांत में तेज दर्द है और घबराहट भी हो रहा है
तीन दिन से से चक्कर है,तीन दिन से से चक्कर है
"हां, घुटनों में तेज दर्द है","हां, घुटनों में तेज दर्द है"
पिछले हफ्ते से घुटनों में ऐंठम है और वजन कम होना भी हो रहा है और रात से से टखना में तेज दर्द है,पिछले हफ्ते से घुटनों में ऐंठन है और वजन कम होना भी हो रहा है और रात से से टखना में तेज दर्द है
पिछले हफ्ते से पेट में खुजलि है और पसीना आना भी हो रहा है,पिछले हफ्ते से पेट में खुजली है और पसीना आना भी हो रहा है
पैरों में सुन्नपन है जो घुट नों तक फैल रहाहै और आंखों में जलन और उल्टी है,पैरों में सुन्नपन है जो घुटनों तक फैल रहा है और आंखों में जलन और उल्टी है
कल से कमर में झनझनाहट शुरू हौ गया,कल से कमर में झनझनाहट शुरू हो गया
दोपहर से से कंधा में जालन है,दोपहर से से कंधा में जलन है
सुबह से से अखं में भारीपन है,सुबह से से आंख में भारीपन है
कान् में दर्द हो रहा है,कान में दर्द हो रहा है
पैर में तेजदर्द और नींद नहीं आना है,पैर में तेज दर्द और नींद नहीं आना है
मुझे कमर में दर्द है और पायर में तेज कड़ापन है,मुझे कमर में दर्द है और पैर में तेज कड़ापन है
कलाई में झनझनाहट है जो कलाई तक फैल रहा है और कभी-कभी सिर में ऐंठन होता है,कलाई में झनझनाहट है जो कलाई तक फैल रहा है और कभी-कभी सिर में ऐंठन होता है
पिछले हफ्ते से कान में कड़ापन है और थखान भी हो रहा है,पिछले हफ्ते से कान में कड़ापन है और थकान भी हो रहा है
पिछलेहफ्ते से पीठ में कड़ापनहै औरदकान भी हो रह है,पिछले हफ्ते से पीठ में कड़ापन है और थकान भी हो रहा है
पीठ मेँ सूजन है जो उंगलियों तक फैल रहा है,पीठ में सूजन है जो उंगलियों तक फैल रहा है
मुझे उंगली में दर्द हे,मुझे उंगली में दर्द है
गले में तेज दर्द है जो दांत तक फैल रहा है,गले में तेज दर्द है जो दांत तक फैल रहा है
हाथ मेंभारीपन औरखांसी है,हाथ में भारीपन और खांसी है
जब सीढ़ी चढ़ता करता हूं तो जीभ में तेज दर्दे होता है,जब सीढ़ी चढ़ता करता हूं तो जीभ में तेज दर्द होता है
कल से मसूड़ों में ऐंठन षुरू हो गया,कल से मसूड़ों में ऐंठन शुरू हो गया
पेट मेंदर्द है जोपैर तक फैल रहा है औलखाना खाने के बाद नाक में ऐंठान होता है,पेट में दर्द है जो पैर तक फैल रहा है और खाना खाने के बाद नाक में ऐंठन होता है
शाम से से घुटना में कड़ापन है और कलाई में ऐंठन है चो जीभ तक फैल रहा है,शाम से से घुटना में कड़ापन है और कलाई में ऐंठन है जो जीभ तक फैल रहा है
"हां, सिर में तेज दर्द है","हां, सिर में तेज दर्द है"
जब खड़ा होता करता हूं तो कमर में सुन्नपन होता है और पेट में गैस बन रही है,जब खड़ा होता करता हूं तो कमर में सुन्नपन होता है और पेट में गैस बन रही है
गर्दन में खुजली है जो टखना तक फैल रहा है और मेरमसूड़ों में बहुत सुन्नपनहै,गर्दन में खुजली है जो टखना तक फैल रहा है और मेरे मसूड़ों में बहुत सुन्नपन है
छाती में जलन और थकन है,छाती में जलन और थकान है
घुटनों में ऐंठन है जो उंगली तक फैल रहा है,घुटनों में ऐंठन है जो उंगली तक फैल रहा है
जब खाता करता हूं तो टखना में तेज दर्दे होता है,जब खाता करता हूं तो टखना में तेज दर्द होता है
पिछले हफ्ते से शिर में जनझनाहट है और बेचैनी भी हो रहा है और पिछले हफ्ते से आंखों में तेज दर्द है और जुकाम भी हो रहा है,पिछले हफ्ते से सिर में झनझनाहट है और बेचैनी भी हो रहा है और पिछले हफ्ते से आंखों में तेज दर्द है और जुकाम भी हो रहा है
